Year,Team cat,place,Name,Nameabb,Point
2011,Small Team,5,UV Rays,UVRA-NE,376
2011,Small Team,6,Martha's Vineyard Masters,MVM-NE,243
2011,Small Team,7,South Shore YMCA,SSHY-NE,196.5
2011,Small Team,8,North Suburban YMCA Masters,NSY-NE,148
2011,Small Team,9,Kingsbury Club Masters,KING-NE,145
2011,Small Team,10,Greater Boston YMCA Masters,BOSY-NE,52
2011,Squad,1,East Lyme Masters,ELM-NE,151
2011,Squad,2,Middlebury Muffintops,MUFF-NE,140
2011,Squad,3,Westboro Tennis & Swim,WTS-NE,122
2011,Squad,4,Marblehead JCC Masters,JCCM-NE,102.5
2011,Squad,5,UMASS Aquatic Masters,UMAS-NE,91
2011,Squad,6,Flaherty Masters,FLA-NE,79
2011,Squad,7,Bennington Area Masters,BAM-NE,74
2011,Squad,8,Wayland Community Pool Masters,WCPM-NE,64
2011,Squad,9,Hockomock Masters,HOCK-NE,53
2011,Squad,10,Greendale YMCA Masters,GDYM-NE,46
2011,Squad,11,Tri YMCA,TRIY-NE,44
2011,Squad,12,Stowe Masters,STOW-NE,41
2011,Squad,13,BSC Wellesley,BSCW-NE,35
2011,Squad,14,Bluefish Swim Club,ABF-NE,32
2011,Squad,15,Jumbo Aquatics,JMBO-NE,8
2011,Squad,15,JCC Newton Masters,JCCN-NE,8
2011,Squad,17,Concord Masters,CONC-NE,4
2010,USMS Club,1,Maine Masters Swim Club,MESC-NE,8310
2010,USMS Club,2,Great Bay Masters,GBM-NE,2266
2010,USMS Club,3,Bearcat Masters,BCTM-MR,1892
2010,USMS Club,4,FISH Masters,FISH-MR,1342
2010,USMS Club,5,Westchester Masters,WM-MR,1048.5
2010,USMS Club,6,Asphalt Green Unified Aquatics,AGUA-MR,674
2010,USMS Club,7,West Side Swim Club,WSSC-NE,425
2010,USMS Club,8,Connecticut Masters,CONN-CT,340
2010,USMS Club,9,Adirondack Masters,ADMS-AD,279
2010,USMS Club,10,Garden State Masters,GSM-NJ,249
2010,USMS Club,11,Missouri Valley,MOVY-MV,146
2010,USMS Club,12,Metro Masters Swim Club,METR-MR,141
2010,USMS Club,13,Pacific Northwest Aquatics,PNA-PN,136.5
2010,USMS Club,14,Rinconada Masters,RINC-PC,136
2010,USMS Club,14,Sarasota YMCA Sharks,SYSM-FL,136
2010,USMS Club,16,Simon's Rock Pace Makers,SRPM-NE,132
2010,USMS Club,17,Tampa Metro Masters,TMM-FL,110
2010,USMS Club,18,Atlanta Water Jocks,AWJ-GA,104
2010,USMS Club,19,Tribeach,TBH-CT,66
2010,USMS Club,20,Montana Masters,MM-MT,61
2010,USMS Club,21,Niagara District Masters,NIAG-NI,58
2010,USMS Club,22,Quest Masters Swim Team,QMST-VA,57
2010,USMS Club,23,Red Tide of NYC,REDT-MR,55.5
2010,USMS Club,24,Berkeley Aquatic Masters,BERK-NJ,55
2010,USMS Club,25,Colonials 1776,1776-DV,53
2010,USMS Club,26,San Diego Swim Masters,SDSM-SI,51
2010,USMS Club,27,Univ. of San Francisco Masters,USF-PC,47
2010,USMS Club,28,Alexandria Masters Swimming,ALEX-PV,35
2010,USMS Club,29,Wellesley Masters,WELL-NE,30
2010,USMS Club,30,Team New York Aquatics,TNYA-MR,20
2010,USMS Club,31,Shawangunk Masters Swimming,SMSA-AD,11
2010,Large Team,1,Cambridge Masters Swim Club,CMSC-NE,6592
2010,Large Team,2,Minuteman Andover Masters,MAMA-NE,4371.5
2010,Large Team,3,ABC Masters - Gray Sharks,ABC-NE,2004.5
2010,Large Team,4,YMCA of the North Shore,YNS-NE,1890
2010,Large Team,5,Boston University Masters,BUMS-NE,1699.5
2010,Large Team,6,Swim Rhode Island,SWMRI-NE,1568
2010,Large Team,7,Liquid Assets,LANES-NE,1117
2010,Medium Team,1,South County YMCA,SOCOY-NE,2000
2010,Medium Team,2,Boston College,BC-NE,1583
2010,Medium Team,3,Granite State Penguins,GSP-NE,1454.5
2010,Medium Team,4,Cape Cod Masters,CCM-NE,1120.5
2010,Medium Team,5,Greenwood Masters,GWDM-NE,921
2010,Medium Team,6,MIT,MIT-NE,892
2010,Medium Team,7,Middlebury Muffintops,MIDD-NE,629
2010,Medium Team,8,UV Rays,UVRAY-NE,539
